CH1,CH10
91.5527,0.0979614
91.3086,0.103607
91.156,0.107727
90.9118,0.108948
90.7593,0.108948
90.6372,0.1091
90.4846,0.108948
90.3625,0.107727
90.271,0.106354
90.2099,0.104218
90.2405,0.101929
90.3015,0.100098
90.332,0.098877
90.3625,0.0991821
90.393,0.0991821
90.393,0.0991821
90.4846,0.0987244
90.4846,0.0990295
90.4541,0.0970459
90.4846,0.0952148
90.4846,0.0926208
90.332,0.0917053
90.2099,0.0894165
90.0879,0.0860596
89.9963,0.0827026
89.8742,0.0756836
89.8132,0.0691223
89.7217,0.0598145
89.7217,0.0495911
89.6911,0.0382996
89.5996,0.0285339
89.2944,0.0166321
88.9587,0.00473022
88.7146,-0.00564575
88.501,-0.018158
88.2873,-0.0279236
88.1347,-0.039978
88.0432,-0.0500488
87.8906,-0.058136
87.8296,-0.0656128
87.6465,-0.0727844
87.4939,-0.0791931
87.2497,-0.0848389
87.0361,-0.088501
86.8225,-0.0923157
86.6699,-0.0952148
86.5173,-0.0961304
86.4563,-0.098114
86.3647,-0.0985718
86.3342,-0.0982666
86.2121,-0.0967407
86.1511,-0.0958252
86.0596,-0.0938416
85.968,-0.0912476
85.7849,-0.0888062
85.8459,-0.0888062
85.8459,-0.088501
85.8154,-0.090332
85.6933,-0.0915527
85.6933,-0.093689
85.6628,-0.093689
85.6323,-0.093689
85.6933,-0.0921631
85.6628,-0.091095
85.6628,-0.0874329
85.6628,-0.0846863
85.6018,-0.0810242
85.6018,-0.0776672
85.6628,-0.072937
85.6018,-0.067749
85.6018,-0.062561
85.5713,-0.058136
